epcho,train_loss_list_cnn_ReLu_mult1000,valid_loss_list_cnn_ReLu_mult1000,train_loss_list_cnn_tanh_mult1000,valid_loss_list_cnn_tanh_mult1000,train_loss_list_dnn_ReLu_mult1000,valid_loss_list_dnn_ReLu_mult1000,train_loss_list_dnn_Tanh_mult1000,valid_loss_list_dnn_Tanh_mult1000
42,16.388889402151108,16.388889402151108,11.237096300558937,11.341531655841296,14.094181490250893,14.36775415054252,14.777222126271695,14.799778800337545
43,16.388889402151108,16.388889402151108,11.212478406847485,11.274676905163833,14.081424301219803,14.3841999252477,14.77549576215566,14.798188882489358
44,16.388889402151108,16.388889402151108,11.213380629346975,11.225706867633326,14.07455859495507,14.392610203715103,14.775983579907447,14.790982653897617
45,16.388889402151108,16.388889402151108,11.188472786377515,11.188574360623475,14.083429183360309,14.396010342264367,14.771228265618124,14.798929163765523
46,16.388889402151108,16.388889402151108,11.17067916258689,11.256782923855127,14.065294109675433,14.301676979108203,14.771207832851477,14.777530450373888
47,16.388889402151108,16.388889402151108,11.157844977964077,11.223173249633081,14.042019348351223,14.264314300230435,14.7682883919427,14.792978793622988
48,16.388889402151108,16.388889402151108,11.149973270573442,11.153533468924223,14.028094123087584,14.35990918487791,14.762522908107888,14.777342127936503
49,16.388889394640444,16.388889402151108,11.131596706447102,11.151244758718436,14.02211950476011,14.459855073402005,14.76091923447506,14.765899463166152
50,16.388889402151108,16.388889402151108,11.125260768758675,11.198459944177058,14.008224690182796,14.285469998515422,14.75972371296056,14.75855535376937
51,16.388889402151108,16.388889402151108,11.108819624379038,11.121857295473736,13.985587625704225,14.317882337397146,14.758855303479057,14.77729084510957
52,16.388889394640444,16.388889402151108,11.09540388513837,11.108762509520016,13.970200066274453,14.297576696281471,14.75286719224025,14.771077075913068
53,16.388889402151108,16.388889402151108,11.101705183635556,11.076081228712875,13.978516483949798,14.257164912358407,14.753929241710612,14.770588176625392
54,16.388889402151108,16.388889402151108,11.103440489199373,11.065026640050833,13.947294198817785,14.293030219813508,14.750908113895886,14.767121178128065
55,16.388889402151108,16.388889402151108,11.093039737804043,11.105357203632593,13.960992785981826,14.325476657118529,14.744944168224691,14.749104217175514
56,16.388889402151108,16.388889402151108,11.065640584415487,11.065176567964016,13.960805484995007,14.259455590358666,14.73914579893913,14.754700399334393
57,16.388889402151108,16.388889402151108,11.073917559828729,11.055692279290769,13.948865103415184,14.266196443068406,14.731616743149297,14.74688026393133
58,16.388889402151108,16.388889402151108,11.04896831431336,11.04372024776474,13.959437770198189,14.290178224684732,14.722024026747432,14.737501364922332
59,16.388889394640444,16.388889402151108,11.045106874418355,11.056253280971319,13.919323104463757,14.218021484632645,14.71567923398388,14.733738250910275
60,16.388889394640444,16.388889402151108,11.036776558255715,11.05200934914812,13.900557067245245,14.276373575651837,14.709096897633808,14.725083395117712
61,16.388889402151108,16.388889402151108,11.02668778490155,11.055127176786623,13.903318190827004,14.236963308987118,14.705344651555341,14.707701716331703
62,16.388889394640444,16.388889402151108,11.038968542350394,11.01122422504329,13.905398908161347,14.35103826224804,14.703205963146061,14.72098399854956
63,16.388889402151108,16.388889402151108,11.028740945602618,11.02015885314153,13.88897411825676,14.240889900153684,14.705794750742854,14.725744739295013
64,16.388889394640444,16.388889402151108,11.019320230961085,11.012655487584492,13.861634066298365,14.205049017384168,14.699297453907707,14.721147295448088
65,16.388889116745805,16.388889402151108,11.00712241004071,11.004598631012824,13.890231771755122,14.196807067961462,14.69428921043272,14.70555073671764
66,16.388889079192474,16.388889402151108,10.992608592665244,10.999387355461236,13.873139527746506,14.27552251205329,14.692479519233588,14.707660918394405
67,16.388890536261663,16.38888946223644,11.006858819464764,11.007852897408508,13.866831120404026,14.19906037288808,14.69307298952293,14.698713777526732
68,16.388889109235134,16.388889402151108,10.996374602039014,11.027619858542758,13.864304652557738,14.17940414901222,14.691460457059645,14.715402206826594
69,16.388890626389657,16.388888320615216,10.989050677556905,10.976615572167981,13.84272949860221,14.293510091280746,14.690030651587632,14.698100486590016
70,16.38888893648982,16.388889402151108,10.97792667156506,10.954296471731316,13.836330013169396,14.204450327182007,14.689918104258755,14.707890219025074
71,16.388890536261663,16.388889402151108,10.969995359529651,11.028919969835588,13.83410812535834,14.205451799376357,14.682873216037068,14.704061026174214
72,16.388890401069677,16.388907908431946,10.987138142809272,11.214453862198898,13.797759153549709,14.189866762007437,14.683212784509506,14.699247951108601
73,16.38888943219377,16.388889372108444,10.980759649687716,10.961443170784943,13.81545759842641,14.17718788668994,14.67833628187016,14.71135398793605
74,16.38888886138316,16.388891204710927,10.970220698284047,10.964843594739515,13.828392700111914,14.199190472643222,14.674931235100713,14.688919253286816
75,16.38889144505224,16.388889372108444,10.973443517521504,10.962886225071646,13.794415164738894,14.19488339114093,14.667236321275272,14.68596879332777
76,16.38888925193779,16.38888753950596,10.957648410582014,10.954213118360888,13.778433981051126,14.136622179179422,14.654815497417603,14.671732551388203
77,16.388890874241632,16.388889402151108,10.952825665534023,10.940380319352112,13.76663789062971,14.15942015967542,14.636424899611983,14.645560779758998
78,16.38888919185246,16.388889402151108,10.95050870020303,10.929546409076261,13.772608032600292,14.245256360980772,14.620556710137716,14.655273888380297
79,16.38888986030173,16.388889402151108,10.941907241489858,10.941624611375792,13.780942032744566,14.227127596255272,14.605572984193362,14.622119675961233
80,16.38889070149631,16.388889041639143,10.952397752853653,10.919895669024799,13.777776009162826,14.248728226389616,14.592312929791309,14.60241915417775
81,16.388889019107147,16.388889402151108,10.939140135662692,10.938941951720945,13.742361416769844,14.078414172775323,14.587701129306469,14.617469462175523
82,16.38889095685895,16.38888753950596,10.938270438101984,11.040385737414322,13.756622597875616,14.18873374801009,14.579832493778198,14.609940274949036
83,16.388889131767137,16.388889402151108,10.936537115353971,10.96446100141733,13.734853345780603,14.148624103155829,14.5722440398869,14.59479887759493
84,16.38889073904964,16.388904934208238,10.929794614053062,10.9987533501079,13.75548011668387,14.14955734846092,14.567884105828501,14.58587587600754
85,16.388889552364425,16.388889402151108,10.932410759250484,10.923067753713939,13.72983567641988,14.202528663219946,14.564977988841074,14.610192738473415
86,16.38888903412848,16.388889402151108,10.90614556620318,11.01627325518958,13.716252471861099,14.152361305370446,14.557971359951603,14.593850520830001
87,16.388890123175035,16.38888753950596,10.924674705752441,10.997203118618458,13.734544150441165,14.131117582080824,14.550834631306989,14.577940271626558
88,16.388891031965613,16.388891264796257,10.911637823277664,10.943183585280371,13.71638878293696,14.112009201198816,14.550425247439453,14.571415560860787
89,16.388889169320464,16.388889402151108,10.905641555455663,10.93029633404747,13.716796172722693,14.139325898741522,14.546161273404236,14.572288360326521
90,16.388889266959122,16.388889402151108,10.92188705825397,10.883718789104492,13.699951529082272,14.26887372508645,14.538858596596025,14.576893855607318
91,16.38889111458294,16.388888560956524,10.90830447332513,10.933389541723074,13.70830659288913,14.185911209713067,14.53755287483575,14.559940194651004
92,16.388889266959122,16.388889402151108,10.892735737856597,10.879667580968912,13.677124170616509,14.128054447111584,14.534063175350667,14.570124913007021
93,16.388890476176336,16.388889402151108,10.894266558029958,10.875877323410204,13.693521888325773,14.286755358860377,14.527349578847566,14.560727853207819
94,16.38888910172447,16.38888753950596,10.894597260161273,10.866687963566473,13.692779714361794,14.314465975809481,14.517930231147234,14.53735416514739
95,16.388890784113638,16.388888080273908,10.905315164446591,10.891422404036406,13.687515710180083,14.117909970903588,14.513253117911518,14.52259040407596
96,16.388888928979156,16.38888753950596,10.877471022878684,10.888949757622134,13.69288315876357,14.118536480612333,14.502237524626958,14.53265756548893
97,16.388890784113638,16.388889402151108,10.876645514320943,10.881849834995887,13.674033505301322,14.185358259466387,14.495518843403024,14.518841244881191
98,16.388888793787167,16.38888753950596,10.86960399087759,10.876746067116338,13.677996350452304,14.155809331925647,14.484996854838345,14.5042454072785
99,16.388889604939088,16.388888981553816,10.8687020763154,10.89272658611017,13.669654982344758,14.222218670071133,14.483041633220932,14.52085076861324
100,16.38888983776973,16.388889402151108,10.87228954589415,11.054495740081034,13.660515020150811,14.105459870470145,14.468866028642703,14.488866402497214
101,16.38889111458294,16.38888753950596,10.890709878426165,10.843835530742522,13.653570793629173,14.10555830525775,14.459718345484186,14.472060055742341
102,16.388889116745805,16.388889402151108,10.868911762842007,10.876641578731997,13.630064955401805,14.229382914040357,14.446395393010349,14.467732364972752
103,16.388890551282994,16.388889402151108,10.858977739248544,10.910449143979818,13.634345663200703,14.237549741782487,14.432866558162194,14.4515443112581
104,16.38888983776973,16.388889402151108,10.861895636715476,10.870036774224813,13.631860012068383,14.1365192079496,14.418780642201103,14.444482632942737
105,16.388889004085815,16.388889402151108,10.855256091623056,10.949448862623784,13.634384989047485,14.105259245561978,14.406713886156439,14.430790688962706
106,16.388891099561608,16.3888898227484,10.871008875960063,10.980046564532865,13.607241893036953,14.164529650682402,14.391316739361613,14.458181997460702
107,16.38888921438446,16.388889402151108,10.85752626550534,10.879605798231017,13.63129525505487,14.12030605358943,14.386748782389105,14.424838741580325
108,16.38888898906448,16.388889402151108,10.843863485441092,10.834839360247697,13.617421552959469,14.211920480574332,14.37481417651138,14.413629418178912
109,16.38889158775489,16.388889402151108,10.848753458459772,10.833241886669589,13.616780205930194,14.172418208252038,14.3650317557096,14.395659504037711
110,16.38888904914981,16.38888753950596,10.85314263529595,10.836663325467416,13.590186759228668,14.148812440614547,14.358152087116915,14.387776023678242
111,16.388891062008277,16.388889402151108,10.838382208960192,10.852518266126994,13.617935643020656,14.114575160126533,14.34746667772772,14.39844113924811
112,16.38888919185246,16.388889402151108,10.84146003479198,10.834613319246037,13.599079060969093,14.115028639113712,14.341948737931107,14.361426189181305
113,16.388889266959122,16.388889402151108,10.845121589579408,10.850654239015233,13.58613297117934,14.10756257152365,14.329910601278948,14.361426174159973
114,16.38889102445495,16.388887569548622,10.841495436315814,10.882539524426383,13.575887664281312,14.217942862981749,14.320022126118984,14.3456966466
115,16.388888906447157,16.388889402151108,10.83340207039709,10.808123996661555,13.596321170729015,14.099514337196466,14.310113466044346,14.341510006136472
116,16.38889021330303,16.388889402151108,10.833700386536938,10.816296397317801,13.59017626682837,14.165497850626707,14.301274677798633,14.343037585457486
117,16.38888904914981,16.38888753950596,10.830075562661213,10.852538980543613,13.588516188094454,14.121880799892448,14.288522457073054,14.326100102475575
118,16.388891039476277,16.38888753950596,10.826135839095278,10.808270169241775,13.571166748841923,14.125483516123026,14.284464016166185,14.3173964724185
119,16.38888899657515,16.388889402151108,10.826280562116976,10.815705187738903,13.592131987905068,14.242887031286955,14.273412409238517,14.317855599426453
120,16.388891046986945,16.38888753950596,10.835409866675974,10.813326019072724,13.576491713343609,14.071032990731538,14.268897334864784,14.289624117795498
121,16.388889221895123,16.388889402151108,10.820540689652967,10.833250088316777,13.557847615541709,14.181881061484736,14.25763465193731,14.277612084462758
122,16.38888919185246,16.388890243345692,10.816763357950313,10.837934971336395,13.581297409179951,14.160743463904627,14.250975057122208,14.266840062074124
123,16.38889070900698,16.388889402151108,10.811244569448453,10.814579954791453,13.56707646646687,14.141487633629191,14.243203207790371,14.264631836164382
124,16.38888898906448,16.38889000300438,10.805200860505142,10.786124865614598,13.557023541521161,14.154764027484962,14.231130706086274,14.256599764790266
125,16.388890896773628,16.388889402151108,10.821813664909813,10.818172411452379,13.526380689243876,14.256172678283146,14.224382042283974,14.237306891910492
126,16.38888893648982,16.388889402151108,10.791116243889254,10.778202780432279,13.548582551940795,14.15734404637929,14.217269753346281,14.23309797481183
127,16.38889088926296,16.388889402151108,10.812351660382364,10.804348189624088,13.551198351647585,14.173248136836675,14.193992900301613,14.246628379389163
128,16.388889199363128,16.388889402151108,10.797457409001167,10.82341736482997,13.552391507302321,14.096999721181009,14.181885804470268,14.222475339568431
129,16.388890731538975,16.388889402151108,10.81440398364418,10.791349840620834,13.522589350149275,14.154698819883407,14.157942811688107,14.164114175664803
130,16.38888921438446,16.388889402151108,10.794922315155066,10.852859896277227,13.53102439128223,14.126578030446845,14.13318875335878,14.175953148233315
131,16.38889159526556,16.388890153217698,10.788883585783264,10.816108780883013,13.532916354315898,14.135728034401131,14.116200100209925,14.126366169582452
132,16.388889199363128,16.38888753950596,10.790833872893163,10.79161714522108,13.53616651237732,14.101149394146859,14.094660220096909,14.112352573823545
133,16.388889281980454,16.388889402151108,10.797063557190759,10.785167390901234,13.49563897407103,14.199974706336375,14.080699920023402,14.106491325242866
134,16.38889112960427,16.388889402151108,10.79569473457072,10.774426582840182,13.503080857316814,14.142112430906105,14.067648665889378,14.070226074827293
135,16.388889041639143,16.388889402151108,10.783178393819158,10.78736281863624,13.524332034942363,14.070989714274484,14.056094651741365,14.061424295387923
136,16.388889312023117,16.38896946584986,10.778938589106884,10.776594085919282,13.510659085436455,14.067755786762122,14.029874252305635,14.044969327627651
137,16.388891107072276,16.388889402151108,10.775872160710634,10.750686704751946,13.509281959775235,14.119567815214396,14.016863871215573,14.064309818129386
138,16.38888936459778,16.388889402151108,10.780700854206037,10.800844028351767,13.518260912068428,14.17311013586098,14.004035973020137,14.022095579533808
139,16.38889112960427,16.38888753950596,10.76874062569151,10.773590450445491,13.504806654377571,14.078689183318806,13.98919927587192,14.01134239389531
140,16.38888912425647,16.388889402151108,10.781535210328238,10.765849852994565,13.48563939738538,14.10021317461806,13.977852034112138,13.988173942291928
141,16.388889109235134,16.388891354924247,10.775828719018929,10.741347131589729,13.49340209872612,14.098920528927156,13.964916996267293,13.973511154613188
142,16.388890829177633,16.388889402151108,10.783220254515687,10.786170605570078,13.495349287686327,14.095193946794156,13.95590590583461,13.981450874839098
143,16.38888868112718,16.388889402151108,10.764208415733469,10.81961074904088,13.478299058342895,14.098822815163482,13.945814109437407,13.983657703764976
144,16.388891009433618,16.388889402151108,10.749616145697091,10.753127055302743,13.506230304858859,14.181063495456211,13.936286938617068,13.949488785358207
145,16.388889019107147,16.388889402151108,10.748155835655428,10.735991170569774,13.476249852007436,14.113290145272208,13.924633802455519,13.937414173156984
146,16.388890295920355,16.388889402151108,10.751310270279646,10.81892820976434,13.473444531912046,14.213617635710586,13.924580011066169,13.95899003311511
147,16.388890754070975,16.388889041639143,10.74603758752346,10.755676671021407,13.488838805877153,14.158232077475517,13.914633039084652,13.938099746742555
148,16.3888891392778,16.388889402151108,10.733605790582875,10.758567180845045,13.485926038195048,14.092367608100176,13.90411339384774,13.947093498802955
149,16.388891197200262,16.388889402151108,10.75661057350977,10.759237297480144,13.461298181585247,14.051449244781848,13.897146597775,13.927207403485813
150,16.388889169320464,16.388889402151108,10.739125641843966,10.72692237193546,13.440918770708864,14.096828868552562,13.888841476141206,13.91012048829467
151,16.388889154299132,16.388888891425825,10.735505624794431,10.784258885729697,13.497435645530782,14.152522093706553,13.88093438224807,13.916526966157459
152,16.388890198281697,16.388888801297835,10.725937922665429,10.706701526238072,13.449339012074615,14.262078555240747,13.876228747258505,13.903742145386435
153,16.388891009433618,16.388889402151108,10.719209049467839,10.733085519243632,13.462013377237223,14.061300729912135,13.866007147777465,13.906377532909955
154,16.388889229405795,16.388889402151108,10.721794795244932,10.692418522892458,13.460188075118968,14.100256571245769,13.862532961572851,13.894174052702805
155,16.3888898452804,16.38889249654547,10.717129165817413,10.723554394057683,13.448355708181138,14.16268545172868,13.857341998617255,13.908146054393823
156,16.388889702577746,16.388891204710927,10.714612041239537,10.685157241119493,13.466787171520053,14.141413563441846,13.851022088689911,13.883968259418202
157,16.388890461155004,16.388913436282063,10.705653855937623,10.711699393728086,13.45090006267832,14.142423552731353,13.843384357319483,13.898091826347573
158,16.38888957489642,16.388889402151108,10.703900265657612,10.694927986591093,13.452919789650027,14.147059135739841,13.838475960637293,13.875403952214025
159,16.388889244427126,16.38890054797934,10.722194069756133,10.670198157670038,13.429229970150176,14.059430138478357,13.828145058435057,13.873705054603278
160,16.38888955987509,16.38888868112718,10.69116160543936,10.668210429890502,13.438909855340757,14.07764180593433,13.829130919710282,13.867921451286923
161,16.388891219732262,16.388889402151108,10.681659264880563,10.809770154376183,13.435892925988282,14.167253558914508,13.819022588582047,13.837639572879961
162,16.388889379619112,16.388889402151108,10.690703030465352,10.68563045813672,13.427019412178666,14.146158066127569,13.807299148832117,13.864118665937454
163,16.388890836688297,16.388889402151108,10.689020731426295,10.662862415155095,13.426539942532058,14.143586459179078,13.804863458649525,13.857106257590555
164,16.388889056660474,16.388889402151108,10.67397584612932,10.732678861747827,13.45820210483526,14.080934166427582,13.793179340991042,13.824745396813077
165,16.388891009433618,16.388889402151108,10.67844657002077,10.650509983421333,13.40987147282689,14.080041298462499,13.777117969678534,13.83627422394291
166,16.38888920687379,16.388889402151108,10.66107419694984,10.703955792010792,13.39579008955268,14.072804426353786,13.766557282407678,13.796052534974391
167,16.388890085621707,16.388890904284292,10.676252460407635,10.62975077319049,13.425787242369788,14.198215272758276,13.759533412784577,13.792374396636601
168,16.388889680045747,16.388889402151108,10.648254286347619,10.667862445716896,13.413409210531222,14.048495119617831,13.745406037947584,13.793999884998607
169,16.388890025536377,16.388888951511152,10.6485165137377,10.753804787753088,13.39767702044018,14.149226052987,13.739022783063833,13.763581402599812
170,16.388889064171142,16.388889402151108,10.64957095490348,10.622931989811121,13.406609541796628,14.086660703704242,13.72371350730499,13.770120218396187
171,16.38889063390032,16.388889402151108,10.642796030057776,10.627662192188923,13.421228835209003,14.172413957215126,13.71106244398341,13.745310551096354
172,16.38889063390032,16.388901389173924,10.657043823401533,10.672357489144611,13.400472133540578,14.04983729063984,13.7064705730506,13.749184687772104
173,16.388889469747102,16.388889402151108,10.63852955121547,10.58756106442982,13.391144442251854,14.146338517387067,13.693558037160866,13.743531800085497
174,16.388888696148513,16.3888891618098,10.62027629344694,10.62147148073681,13.412499969314423,14.116393357154823,13.680508345245354,13.73011298898247
175,16.388890280899023,16.388888981553816,10.608072783197127,10.595153371292737,13.391191237455896,14.226741683218748,13.673002700201206,13.731018790314275
176,16.38888968755641,16.38889006308971,10.615615677388927,10.619094324929097,13.377913593074245,14.055268178063056,13.66572524420917,13.696549385185204
177,16.388889957940386,16.388889402151108,10.617456045903026,10.568358725117099,13.391245528304529,14.051496937510468,13.654337159448092,13.695864667815545
178,16.388890476176336,16.38888753950596,10.627386085088215,10.569009854788742,13.41380899952304,14.050605857083875,13.634323119936932,13.68283119893843
179,16.38888917683113,16.388889402151108,10.63548304110525,10.592081839398992,13.39050477385641,14.052723834831868,13.628327948672155,13.664401271530696
180,16.38889085170963,16.388889762663073,10.61556423683801,10.596282059146512,13.363317053224291,14.048154105342205,13.623558480532902,13.658815874688088
