epcho,tll_cnn_relu_mult1000,vll_cnn_relu_mult1000,tll_cnn_tanh_mult1000,vll_cnn_tanh_mult1000,tll_dnn_relu_mult1000,vll_dnn_relu_mult1000,tll_dnn_tanh_mult1000,vll_dnn_tanh_mult1000
71,10.155461920094826,10.364724833878778,10.141004222415148,10.382389574642144,11.584200915099391,11.496447852902834,13.035937122279597,12.436299795104611
72,10.122078200501779,10.461946934341423,10.17552761045555,10.299957522581662,11.59969137440766,11.411057199321448,13.023497187532485,12.417626206672962
73,10.124958965236383,10.34995912003421,10.193151605856274,10.623941408290017,11.711541195249847,11.519671537943424,12.972795656101116,12.383114576580065
74,10.139388971090797,10.333395277660701,10.141496084660531,10.346294065276462,11.594152089298492,11.4758062747217,12.985108439029464,12.440778179875306
75,10.124063712634866,10.365695347108186,10.151007730934408,10.419899823083993,11.620457363014498,11.443502630197232,12.97732537251807,12.406587585686676
76,10.123142762289893,10.384708432660949,10.121128063709024,10.461042905526778,11.529147027871542,11.51958845495697,12.960706844985966,12.350057101538104
77,10.140081484531683,10.2675084715649,10.145672476820408,10.70665973689287,11.506965627983933,11.402062996621094,12.977771930426599,12.313760216197661
78,10.0968795069944,10.30637367418216,10.136577067896724,10.561873355219442,11.47951221754474,11.363329756404124,12.961555820619386,12.351951847273495
79,10.105646057655253,10.441774171927282,10.141489471519185,10.466806124895811,11.58514331966158,11.528230046913508,12.93481036555022,12.334059608439285
80,10.116724947076891,10.428889684619444,10.151354464582138,10.427499039759558,11.495746454344161,11.438566740722425,12.919672937583059,12.294178648341086
81,10.117169980320238,10.35623422132865,10.118522899105184,10.244127513179857,11.449445883983808,11.34095485171964,12.90219475800592,12.28926120506179
82,10.130690117817252,10.39336719399979,10.108458783267247,10.254725408289701,11.466154693475655,11.33399183351186,12.909278649115754,12.265298906112871
83,10.083061289943515,10.323216657965414,10.085066108243359,10.296497283683669,11.430786911308045,11.390476021915674,12.90538763221834,12.22245889385381
84,10.098650691009338,10.336643580587642,10.110818112509387,10.298762350313126,11.464774142950773,11.372788794218533,12.882948710372853,12.246032380649158
85,10.087055255538754,10.423676471316044,10.097026250385229,10.269519752792775,11.558345072121629,11.45696920913554,12.863598215664107,12.227027631935574
86,10.082359136562914,10.357614861981522,10.113112692300591,10.218006228246995,11.478241961148957,11.280922008858573,12.890273738922852,12.230425937882355
87,10.08379571665559,10.279830920720292,10.082672226182636,10.51283258223726,11.417131067343776,11.340106476939495,12.858257835520613,12.213933176451151
88,10.074813929086009,10.354432472658733,10.072547349057372,10.29082438758304,11.39711254396506,11.386724579478464,12.841068163153626,12.24370479523655
89,10.07069654447297,10.346730780457296,10.103435924036367,11.187749524270334,11.409257587435986,11.280623189504109,12.8897869388663,12.160595190981704
90,10.07234421183145,10.396154477230965,10.080277777066636,10.217252683134811,11.369635478683536,11.328757049575929,12.846566113312878,12.20934234199024
91,10.061628001201298,10.440367364114332,10.051014006979043,10.264959877296802,11.336102916468535,11.321240885844153,12.8183486991592,12.144892431435085
92,10.067513749574221,10.406626148089286,10.066946074666998,10.570019558672943,11.344740189792168,11.28043046581649,12.815344068522176,12.192912144406188
93,10.063149143881615,10.312281338678252,10.074060241271171,10.198962799603901,11.332024714999621,11.263379962333747,12.812091428185663,12.183235117023992
94,10.080460819505875,10.472786387488727,10.048739976369806,10.192720489876887,11.33292612259186,11.258217566195995,12.810931894026936,12.135035628753325
95,10.078064256137418,10.286524726618682,10.035832780563542,10.170868132263422,11.321352453031126,11.234903512823006,12.843847601494241,12.146676890552044
96,10.076858137073296,10.26912978399665,10.080832079233181,10.28613848311286,11.26670692070958,11.251019193760811,12.792647358090166,12.116757341690601
97,10.068970293016923,10.361228904296313,10.015053790993989,10.401842184364796,11.386532880996743,11.273170596048717,12.792729130465418,12.111550707730554
98,10.041737711177237,10.394236072897911,10.020125510862036,10.252107054956497,11.29044321621017,11.283631091036142,12.782384145764572,12.100036436271283
99,10.03646077738414,10.45619298313414,10.03005383010473,10.387162647901041,11.243489353106387,11.255174514747436,12.763786738017393,12.077416203195048
100,10.061868676735509,10.31620842554877,10.039477744289943,10.205424390733242,11.248613504933255,11.277091043490556,12.78418202644154,12.12172931240451
101,10.052470884646379,10.322250365730255,10.04735353748284,10.254424606119432,11.338371396695653,11.27524549261697,12.74792058017826,12.070679075775606
102,10.03135276222301,10.322009123140765,10.017130095812103,10.185183807005805,11.294635850185108,11.195556440901372,12.757750382016024,12.109781134753458
103,10.062837117021122,10.237667063671735,10.01461089829043,10.155125100526117,11.238294754988484,11.246615870585364,12.750642896149188,12.045711699512697
104,10.033566012768256,10.404258080187343,10.029294738365758,10.23497726888426,11.26680395475799,11.261540510120891,12.735607463025277,12.062817586645965
105,10.032935113075279,10.280565463847692,10.002344745331474,10.146334361765653,11.222137284705477,11.20325186920743,12.725120628132455,12.018625474264544
106,10.026229293866745,10.630356508397286,10.01551741689083,10.182402051624752,11.24657925233365,11.1699020339837,12.745906133204699,12.030790860374127
107,10.022709333908654,10.35790004196667,9.985689231525026,10.155281622803981,11.229071214104133,11.241988999949347,12.711795114521538,12.006233551449354
108,10.025895474809072,10.75988991426364,10.001041618506274,10.20103101167948,11.184110219830709,11.244003135230273,12.705100786631865,12.005354022426951
109,10.00988178871452,10.23543815338804,9.994606525006315,10.183923937860996,11.196356157832328,11.180875702731072,12.719981068174445,12.034867003920578
110,10.019526009507958,10.320282210746118,10.023961820068859,10.144198403483438,11.1538709456762,11.128231672750365,12.695469206289177,11.990117915575542
111,10.021107091057685,10.604559894531004,9.977554583231049,10.157766301305063,11.214982661899299,11.197110112275809,12.684843889738044,11.98190776631236
112,10.01275033359566,10.26830656994735,9.97666459936168,10.18213730065092,11.190475422828909,11.113598897692658,12.664691199578584,11.977009400124512
113,10.011405755405224,10.311807851277052,9.958748146140527,10.632412207703437,11.168089830466815,11.201381473050963,12.694304771420935,11.956855128969877
114,10.000251297418389,10.288947111656588,9.996412104115851,10.171342400773879,11.157532492952964,11.222907807677984,12.685513364211205,11.9657757872295
115,10.011695272799942,10.271240912017323,9.962934940572708,10.506521414725048,11.150271049700677,11.197131848142993,12.682384184201158,11.959227282674082
116,9.984681134923331,10.219078420871687,9.970333892852068,10.178058948968687,11.177865412807273,11.208503627248348,12.657328786688947,11.956852935855427
117,9.9857073660279,10.276239725851243,9.968695880454634,10.138390345438834,11.108432772509273,11.172497870340463,12.649421080676538,11.92973058430418
118,10.005883305453725,10.242001258678014,9.965883361385954,10.214983981343048,11.147696464773148,11.138800231199111,12.668189784181454,11.914545640109045
119,10.025040393004256,10.351960757567037,9.974533166255682,10.303190819198084,11.108044748975626,11.16727315069687,12.644889422752444,11.935938375010606
120,9.993233214763382,10.210362698642475,9.97828209637514,10.250536379434408,11.096910614850781,11.10307770150323,12.638215843077388,11.886999416615694
121,9.984973284806456,10.269710658899239,9.951587920377573,10.132250526259023,11.088030210005181,11.153799586839254,12.661256245337427,11.916326749469004
122,9.992279363946327,10.311914788138482,9.940329304475698,10.793764865206134,11.116896639578044,11.264202515444449,12.637140169259041,11.892932301927958
123,9.982169680898227,10.256894563715305,9.935627710224399,10.269576608533821,11.198708077802534,11.092648015267427,12.63184227695268,11.927239161225097
124,9.977576371672894,10.184892663551915,9.955647292607013,10.253531858325005,11.133970734062455,11.106138147654073,12.648676262958157,11.909007214971126
125,9.974558056602556,10.393657601408421,9.956748885733465,10.18133017444803,11.071475312834787,11.202698303086141,12.634606141927502,11.883860754389916
126,9.982526441284966,10.187666743032395,9.928639642068095,10.062631459966783,11.074761405677323,11.151249971120588,12.611491812182772,11.887245030412751
127,9.970355553612594,10.296249416686834,9.935193864117947,10.194286088188809,11.083121028458399,11.184935788473776,12.60960995850544,11.869718576030385
128,9.973486047989178,10.428729632328595,9.92303559811966,10.48505497014811,11.022111382185212,11.10253603227677,12.591156372500041,11.851391484660486
129,9.957742952411213,10.183399302824851,9.939778438438811,10.307491952252963,11.081975535489619,11.171345929464987,12.604169648951821,11.885539628565311
130,9.982773684896529,10.17838286896867,9.93101485824633,10.082648781638953,11.174375116224251,11.088508226337932,12.616753300291396,11.891396851429054
131,9.947802976615007,10.219200679491605,9.957359615533102,10.290257257199096,11.098323829261767,11.124416389652797,12.630514154631284,11.84117256273185
132,9.981376310479977,10.350488561896546,9.930488968928975,10.143320496764876,11.055674313777876,11.115098627464425,12.603366127868572,11.86197327690259
133,9.953557070524942,10.818668641149998,9.918869499327434,10.084365915146567,11.039629822687035,11.11950014808005,12.568961644935753,11.86775148756081
134,9.966360893280756,10.301925812757785,9.916642737094193,10.36115265601585,11.12320643639372,11.090669570670974,12.59383871295159,11.809947690175425
135,9.963119537719795,10.208729699614548,9.922219357723671,10.164373193777378,11.017318401906278,11.134887474679177,12.605044359882031,11.858770578739144
136,9.96096478024077,10.2653885560651,9.939748226785131,10.111288693282873,11.026136885066666,11.08890041829117,12.55967595704621,11.810224368086747
137,9.953412655440548,10.392106363489743,9.92562720972684,10.305642751195737,11.016748533884606,11.105070055852975,12.555557836387907,11.819008918058488
138,9.945871113168618,10.246553548401403,9.90793724439197,10.17192435721236,11.01867026168733,11.122829446028318,12.574823772264343,11.818185433625214
