epcho,train_loss_list_cnn_ReLu_mult1000,valid_loss_list_cnn_ReLu_mult1000,train_loss_list_cnn_tanh_mult1000,valid_loss_list_cnn_tanh_mult1000,train_loss_list_dnn_ReLu_mult1000,valid_loss_list_dnn_ReLu_mult1000,train_loss_list_dnn_Tanh_mult1000,valid_loss_list_dnn_Tanh_mult1000
0,14.372258082843356,13.52980256741566,18.4637981602141,15.959254676295865,16.46038972502274,16.122310302190243,15.921663932291972,15.307334311787159
1,13.048595598628443,12.66850038401542,15.527408427348542,15.27120833916049,15.974667730681118,15.843062316097559,15.149645511090995,15.020537130053967
2,12.380430354706704,12.196951936329565,15.133971686384852,15.017477179607075,15.782470935054363,15.705086155644349,14.96436081511239,14.903895601990722
3,12.049501326175468,12.014672535681916,14.962518899401108,14.928480279782125,15.658826383221292,15.60454267347532,14.902855115642229,14.883793890476227
4,11.870792195681602,11.881218291819096,14.91127453083473,14.893428768001257,15.542028607019493,15.454904867276069,14.882141018226262,14.855120180835646
5,11.730687512505439,11.726423752524198,14.87673093910299,14.852873815764342,15.404631612792372,15.331177010891897,14.833329309288773,14.818748293985282
6,11.605741121926375,11.646721136545944,14.80603073122761,14.734400736708794,15.2998392267393,15.268505235472995,14.811312190196928,14.80430011607466
7,11.523159284655366,11.575911344299394,14.625602022504372,14.519779071692497,15.22369024854514,15.196764270865147,14.810641882039846,14.795440834976972
8,11.39160888194437,11.50808337655279,14.432890111610533,14.361588029010642,15.148901947653822,15.089513568748389,14.806784250052464,14.806831120363167
9,11.282596808497704,11.350998309470953,14.309887289850703,14.275921178200552,15.084840391101617,15.059800638306525,14.806588882610441,14.804901645308542
10,11.209985530454546,11.237135367287744,14.23020981958196,14.18678043410182,15.02175901025053,14.979533881189363,14.805303833958122,14.795669519733037
11,11.132010266244892,11.31441199310845,14.10457166287327,14.00168523973515,14.954194009694602,14.951819118352669,14.800546476767668,14.794523422155649
12,11.063710001537638,11.182249779061925,13.80852316956847,13.657184858475961,14.897011810042445,14.882026495592248,14.80072871932099,14.82085045427084
13,11.027179068825658,11.125209020270455,13.444299558027378,13.299617345534985,14.838323646765803,14.768727484249299,14.801948120997798,14.79831231277316
14,10.991369257681072,11.125124915833435,13.159779242179807,13.051031307587701,14.794516425970341,14.75359999664849,14.800823935788245,14.802038774735506
